INFO 2022-07-28 22:43:57,422 database not connected
INFO 2022-07-29 21:19:33,712 database connected
INFO 2022-07-29 21:19:44,365 database connected
INFO 2022-07-29 21:19:55,225 database connected
INFO 2022-07-29 21:27:15,490 database connected
INFO 2022-07-29 21:27:29,096 database connected
INFO 2022-07-29 21:27:51,375 database connected
INFO 2022-07-29 21:40:27,502 database connected
INFO 2022-07-29 21:41:19,579 database connected
ERROR 2022-07-29 21:41:19,755 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,755 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,755 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,755 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,755 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,755 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,755 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,755 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,755 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,755 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,755 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,771 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,786 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,786 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,786 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,786 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,786 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,786 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,786 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,786 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,786 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,786 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,786 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,786 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,786 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,793 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,808 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,824 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
ERROR 2022-07-29 21:41:19,840 1366 (HY000): Incorrect integer value: 'Dress_ID' for column 'Dress_ID' at row 1
